Date,JWN
1984-04-23,3.75
1984-04-24,3.75
1984-04-25,3.75
1984-04-26,3.8125
1984-04-27,3.78125
1984-04-30,3.78125
1984-05-01,3.875
1984-05-02,3.84375
1984-05-03,3.9375
1984-05-04,3.90625
1984-05-07,3.90625
1984-05-08,3.875
1984-05-09,3.9375
1984-05-10,4.0
1984-05-11,3.96875
1984-05-14,3.96875
1984-05-15,3.984375
1984-05-16,3.875
1984-05-17,3.78125
1984-05-18,3.84375
1984-05-21,3.875
1984-05-22,3.96875
1984-05-23,3.875
1984-05-24,3.875
1984-05-25,3.875
1984-05-29,3.84375
1984-05-30,3.84375
1984-05-31,3.8125
1984-06-01,3.875
1984-06-04,3.90625
1984-06-05,3.875
1984-06-06,3.84375
1984-06-07,3.71875
1984-06-08,3.8125
1984-06-11,3.8125
1984-06-12,3.8125
1984-06-13,3.75
1984-06-14,3.75
1984-06-15,3.75
1984-06-18,3.8125
1984-06-19,3.8125
1984-06-20,3.9375
1984-06-21,4.09375
1984-06-22,4.1875
1984-06-25,4.21875
1984-06-26,4.1875
1984-06-27,4.1875
1984-06-28,4.125
1984-06-29,4.09375
1984-07-02,3.96875
1984-07-03,4.03125
1984-07-05,4.0625
1984-07-06,4.0
1984-07-09,3.96875
1984-07-10,4.0
1984-07-11,3.96875
1984-07-12,3.90625
1984-07-13,4.0625
1984-07-16,4.0625
1984-07-17,4.0
1984-07-18,4.0
1984-07-19,4.03125
1984-07-20,3.875
1984-07-23,3.5
1984-07-24,3.375
1984-07-25,3.46875
1984-07-26,3.5
1984-07-27,3.5
1984-07-30,3.53125
1984-07-31,3.5
1984-08-01,3.53125
1984-08-02,3.71875
1984-08-03,3.9375
1984-08-06,4.03125
1984-08-07,3.875
1984-08-08,3.75
1984-08-09,3.84375
1984-08-10,4.0
1984-08-13,4.0625
1984-08-14,3.875
1984-08-15,3.75
1984-08-16,3.65625
1984-08-17,3.5625
1984-08-20,3.59375
1984-08-21,3.6875
1984-08-22,3.75
1984-08-23,3.78125
1984-08-24,3.6875
1984-08-27,3.625
1984-08-28,3.625
1984-08-29,3.625
1984-08-30,3.59375
1984-08-31,3.59375
1984-09-04,3.59375
1984-09-05,3.625
1984-09-06,3.65625
1984-09-07,3.6875
1984-09-10,3.6875
1984-09-11,3.75
1984-09-12,3.84375
1984-09-13,3.90625
1984-09-14,3.96875
1984-09-17,3.96875
1984-09-18,3.90625
1984-09-19,3.9375
1984-09-20,3.9375
1984-09-21,3.90625
1984-09-24,3.8125
1984-09-25,3.78125
1984-09-26,3.78125
1984-09-27,3.90625
1984-09-28,3.90625
1984-10-01,3.84375
1984-10-02,3.84375
1984-10-03,3.875
1984-10-04,3.90625
1984-10-05,3.9375
1984-10-08,3.9375
1984-10-09,3.90625
1984-10-10,3.90625
1984-10-11,3.9375
1984-10-12,4.03125
1984-10-15,4.0
1984-10-16,4.0625
1984-10-17,4.0625
1984-10-18,4.125
1984-10-19,4.21875
1984-10-22,4.171875
1984-10-23,4.25
1984-10-24,4.25
1984-10-25,4.15625
1984-10-26,4.1875
1984-10-29,4.15625
1984-10-30,4.1875
1984-10-31,4.1875
1984-11-01,4.171875
1984-11-02,4.15625
1984-11-05,4.1875
1984-11-06,4.21875
1984-11-07,4.1875
1984-11-08,4.15625
1984-11-09,4.1875
1984-11-12,4.25
1984-11-13,4.1875
1984-11-14,4.15625
1984-11-15,4.15625
1984-11-16,4.15625
1984-11-19,4.03125
1984-11-20,4.0
1984-11-21,4.0
1984-11-23,4.0
