Date,EQR
1998-01-16,26.0625
1998-01-20,25.5625
1998-01-21,25.21875
1998-01-22,25.0625
1998-01-23,25.03125
1998-01-26,25.09375
1998-01-27,25.125
1998-01-28,25.625
1998-01-29,25.53125
1998-01-30,25.5625
1998-02-02,25.5625
1998-02-03,25.40625
1998-02-04,25.21875
1998-02-05,25.21875
1998-02-06,25.25
1998-02-09,25.3125
1998-02-10,25.34375
1998-02-11,25.28125
1998-02-12,25.25
1998-02-13,25.125
1998-02-17,25.1875
1998-02-18,25.0
1998-02-19,24.5
1998-02-20,24.53125
1998-02-23,24.75
1998-02-24,24.5
1998-02-25,24.53125
1998-02-26,24.5
1998-02-27,24.0
1998-03-02,23.75
1998-03-03,23.96875
1998-03-04,24.25
1998-03-05,24.0625
1998-03-06,24.375
1998-03-09,24.34375
1998-03-10,24.375
1998-03-11,24.46875
1998-03-12,24.5
1998-03-13,24.40625
1998-03-16,24.375
1998-03-17,24.25
1998-03-18,24.375
1998-03-19,24.46875
1998-03-20,25.0
1998-03-23,24.875
1998-03-24,24.9375
1998-03-25,25.21875
1998-03-26,25.40625
1998-03-27,25.21875
1998-03-30,25.1875
1998-03-31,25.125
1998-04-01,25.15625
1998-04-02,25.1875
1998-04-03,25.3125
1998-04-06,25.0625
1998-04-07,25.28125
1998-04-08,25.4375
1998-04-09,25.625
1998-04-13,25.84375
1998-04-14,25.71875
1998-04-15,25.625
1998-04-16,25.34375
1998-04-17,24.9375
1998-04-20,24.90625
1998-04-21,24.6875
1998-04-22,24.71875
1998-04-23,24.5625
1998-04-24,24.1875
1998-04-27,24.21875
1998-04-28,24.34375
1998-04-29,24.5625
1998-04-30,24.5625
1998-05-01,24.59375
1998-05-04,24.59375
1998-05-05,24.53125
1998-05-06,24.53125
1998-05-07,24.59375
1998-05-08,24.5
1998-05-11,24.5625
1998-05-12,24.625
1998-05-13,24.6875
1998-05-14,24.625
1998-05-15,24.25
1998-05-18,24.375
1998-05-19,24.3125
1998-05-20,24.0
1998-05-21,24.0
1998-05-22,24.21875
1998-05-26,24.21875
1998-05-27,23.875
1998-05-28,24.28125
1998-05-29,24.46875
1998-06-01,24.46875
1998-06-02,24.5
