Date,MAXR
2012-09-12,54.869999
2012-09-13,54.869999
2012-09-14,54.869999
2012-09-17,54.869999
2012-09-18,54.869999
2012-09-19,52.919998
2012-09-20,52.919998
2012-09-21,52.919998
2012-09-24,52.919998
2012-09-25,52.919998
2012-09-26,52.919998
2012-09-27,52.919998
2012-09-28,52.919998
2012-10-01,52.919998
2012-10-02,52.919998
2012-10-03,52.919998
2012-10-04,52.919998
2012-10-05,52.919998
2012-10-08,52.919998
2012-10-09,52.73
2012-10-10,51.549999
2012-10-11,51.549999
2012-10-12,51.549999
2012-10-15,51.669998
2012-10-16,51.669998
2012-10-17,51.669998
2012-10-18,51.669998
2012-10-19,51.669998
2012-10-22,51.669998
2012-10-23,49.049999
2012-10-24,49.049999
2012-10-25,49.049999
2012-10-26,49.720001
2012-10-31,55.849998
2012-11-01,55.91
2012-11-02,55.91
2012-11-05,55.91
2012-11-06,55.91
2012-11-07,55.91
2012-11-08,55.91
2012-11-09,54.43
2012-11-12,54.43
2012-11-13,54.43
2012-11-14,55.299999
2012-11-15,53.82
2012-11-16,53.82
2012-11-19,53.82
2012-11-20,53.82
2012-11-21,53.82
2012-11-23,53.82
2012-11-26,53.82
2012-11-27,53.790001000000004
2012-11-28,53.790001000000004
2012-11-29,53.790001000000004
2012-11-30,53.790001000000004
2012-12-03,53.790001000000004
2012-12-04,53.790001000000004
2012-12-05,53.790001000000004
2012-12-06,51.32
2012-12-07,51.32
2012-12-10,51.32
2012-12-11,51.32
2012-12-12,51.32
2012-12-13,55.59
2012-12-14,55.59
2012-12-17,54.189999
2012-12-18,54.189999
2012-12-19,54.189999
2012-12-20,56.560001
2012-12-21,55.75
2012-12-24,55.75
2012-12-26,55.75
2012-12-27,56.130001
2012-12-28,55.389998999999996
2012-12-31,55.599998
2013-01-02,55.599998
2013-01-03,56.959998999999996
2013-01-04,56.959998999999996
2013-01-07,57.73
2013-01-08,57.73
2013-01-09,60.0
2013-01-10,60.0
2013-01-11,60.0
2013-01-14,60.0
2013-01-15,60.0
2013-01-16,60.0
2013-01-17,60.0
2013-01-18,60.0
2013-01-22,60.0
2013-01-23,60.0
2013-01-24,60.0
2013-01-25,60.0
2013-01-28,60.0
2013-01-29,60.0
2013-01-30,60.0
2013-01-31,62.889998999999996
2013-02-01,62.889998999999996
2013-02-04,62.889998999999996
2013-02-05,62.889998999999996
2013-02-06,62.889998999999996
2013-02-07,62.889998999999996
2013-02-08,62.889998999999996
2013-02-11,62.889998999999996
2013-02-12,62.889998999999996
2013-02-13,64.510002
2013-02-14,64.510002
2013-02-15,61.639998999999996
2013-02-19,64.510002
2013-02-20,64.510002
2013-02-21,63.450001
2013-02-22,64.379997
2013-02-25,67.339996
2013-02-26,67.339996
2013-02-27,67.25
2013-02-28,67.25
2013-03-01,69.410004
2013-03-04,68.779999
2013-03-05,68.779999
2013-03-06,68.779999
2013-03-07,70.660004
2013-03-08,67.800003
2013-03-11,68.32
2013-03-12,68.349998
2013-03-13,68.349998
2013-03-14,68.349998
2013-03-15,67.959999
2013-03-18,67.959999
2013-03-19,67.959999
2013-03-20,67.959999
2013-03-21,67.959999
2013-03-22,67.959999
2013-03-25,67.959999
2013-03-26,67.959999
2013-03-27,67.959999
2013-03-28,67.949997
2013-04-01,67.849998
2013-04-02,67.68
2013-04-03,67.68
2013-04-04,67.459999
2013-04-05,67.459999
2013-04-08,67.099998
2013-04-09,67.519997
2013-04-10,67.410004
2013-04-11,67.410004
2013-04-12,67.410004
2013-04-15,67.410004
2013-04-16,67.16999799999999
2013-04-17,67.16999799999999
2013-04-18,67.16999799999999
2013-04-19,67.16999799999999
2013-04-22,67.16999799999999
2013-04-23,67.16999799999999
2013-04-24,67.16999799999999
2013-04-25,70.540001
2013-04-26,71.610001
2013-04-29,71.660004
2013-04-30,70.93
2013-05-01,71.379997
2013-05-02,71.379997
2013-05-03,71.379997
2013-05-06,71.379997
2013-05-07,71.379997
2013-05-08,71.379997
2013-05-09,71.379997
2013-05-10,70.33000200000001
2013-05-13,70.33000200000001
2013-05-14,70.33000200000001
2013-05-15,67.809998
2013-05-16,67.809998
2013-05-17,67.809998
2013-05-20,67.809998
2013-05-21,66.0
2013-05-22,65.839996
2013-05-23,65.839996
2013-05-24,65.839996
2013-05-28,65.839996
2013-05-29,65.839996
2013-05-30,68.029999
2013-05-31,68.029999
2013-06-03,67.66999799999999
2013-06-04,67.32
2013-06-05,67.32
2013-06-06,67.32
2013-06-07,66.849998
2013-06-10,66.279999
2013-06-11,66.279999
2013-06-12,64.510002
2013-06-13,64.510002
2013-06-14,64.510002
2013-06-17,68.41999799999999
2013-06-18,68.41999799999999
2013-06-19,67.900002
2013-06-20,67.900002
2013-06-21,67.900002
2013-06-24,67.900002
2013-06-25,63.389998999999996
2013-06-26,65.16999799999999
2013-06-27,67.400002
2013-06-28,65.989998
2013-07-01,65.989998
2013-07-02,65.989998
2013-07-03,65.989998
2013-07-05,65.760002
2013-07-08,65.760002
2013-07-09,65.760002
2013-07-10,65.760002
2013-07-11,65.760002
2013-07-12,69.800003
2013-07-15,69.800003
