,Date,Close,retrun
615,1979-03-01,101.589996,0.02027
616,1979-04-01,101.760002,-0.27405
617,1979-05-01,99.08000200000001,0.57637
618,1979-06-01,102.910004,0.11014
619,1979-07-01,103.809998,0.86005
620,1979-08-01,109.32,0.00000
621,1979-09-01,109.32,-0.57381
622,1979-10-01,101.82,0.65019
623,1979-11-01,106.160004,0.22084
624,1979-12-01,107.940002,0.95875
625,1980-01-01,114.160004,-0.05131
626,1980-02-01,113.660004,-0.72426
627,1980-03-01,102.089996,0.62222
628,1980-04-01,106.290001,0.72672
629,1980-05-01,111.239998,0.37622
630,1980-06-01,114.239998,1.13002
631,1980-07-01,121.66999799999999,0.07232
632,1980-08-01,122.379997,0.34753
633,1980-09-01,125.459999,0.21013
634,1980-10-01,127.470001,2.22079
635,1980-11-01,140.520004,-0.33869
636,1980-12-01,135.759995,-0.42985
637,1981-01-01,129.550003,0.17149
638,1981-02-01,131.270004,0.52926
639,1981-03-01,136.0,-0.24785
640,1981-04-01,132.809998,-0.01970
641,1981-05-01,132.58999599999999,-0.11799
642,1981-06-01,131.21000700000002,-0.02620
643,1981-07-01,130.919998,-0.53668
644,1981-08-01,122.790001,-0.48522
645,1981-09-01,116.18,0.77844
646,1981-10-01,121.889999,0.53917
647,1981-11-01,126.349998,-0.30680
648,1981-12-01,122.550003,-0.19135
649,1982-01-01,120.400002,-0.52740
650,1982-02-01,113.110001,-0.11541
651,1982-03-01,111.959999,0.60130
652,1982-04-01,116.440002,-0.38084
653,1982-05-01,111.879997,-0.21806
654,1982-06-01,109.610001,-0.24354
655,1982-07-01,107.089996,2.73133
656,1982-08-01,119.510002,0.09530
657,1982-09-01,120.41999799999999,2.51539
658,1982-10-01,133.720001,0.52816
659,1982-11-01,138.529999,0.19889
660,1982-12-01,140.639999,0.47870
661,1983-01-01,145.300003,0.25333
662,1983-02-01,148.059998,0.47803
663,1983-03-01,152.96000700000002,1.38143
664,1983-04-01,164.429993,-0.13913
665,1983-05-01,162.389999,0.46494
666,1983-06-01,167.639999,-0.30875
667,1983-07-01,162.559998,0.14461
668,1983-08-01,164.399994,0.12895
669,1983-09-01,166.070007,-0.16764
670,1983-10-01,163.550003,0.23036
671,1983-11-01,166.399994,-0.10101
672,1983-12-01,164.929993,-0.10515
673,1984-01-01,163.41000400000001,-0.37850
674,1984-02-01,157.059998,0.17456
675,1984-03-01,159.179993,0.06759
676,1984-04-01,160.050003,-0.52015
677,1984-05-01,150.550003,0.23099
678,1984-06-01,153.179993,-0.18050
679,1984-07-01,150.66000400000001,2.36222
680,1984-08-01,166.679993,-0.04097
681,1984-09-01,166.100006,-0.00072
682,1984-10-01,166.08999599999999,-0.16701
683,1984-11-01,163.580002,0.30413
684,1984-12-01,167.240005,1.35757
685,1985-01-01,179.630005,0.10860
686,1985-02-01,181.179993,-0.03390
687,1985-03-01,180.66000400000001,-0.05376
688,1985-04-01,179.830002,0.88079
689,1985-05-01,189.550003,0.15573
690,1985-06-01,191.850006,-0.05664
691,1985-07-01,190.919998,-0.13481
692,1985-08-01,188.630005,-0.34564
693,1985-09-01,182.080002,0.64800
694,1985-10-01,189.820007,1.13057
695,1985-11-01,202.169998,0.69707
696,1985-12-01,211.27999900000003,0.02877
697,1986-01-01,211.77999900000003,1.29010
698,1986-02-01,226.919998,0.85405
699,1986-03-01,238.899994,-0.15717
700,1986-04-01,235.520004,0.80057
701,1986-05-01,247.350006,0.18309
702,1986-06-01,250.83999599999999,-0.51602
703,1986-07-01,236.11999500000002,1.28250
704,1986-08-01,252.92999300000002,-0.65758
705,1986-09-01,231.32000699999998,0.89536
706,1986-10-01,243.979996,0.29046
707,1986-11-01,249.22000099999997,-0.29132
708,1986-12-01,242.169998,3.41656
709,1987-01-01,274.079987,0.54512
710,1987-02-01,284.200012,0.36694
711,1987-03-01,291.700012,-0.12907
712,1987-04-01,288.359985,0.07486
713,1987-05-01,290.100006,0.75352
714,1987-06-01,304.0,0.75974
715,1987-07-01,318.660004,0.51035
716,1987-08-01,329.799988,-0.25439
717,1987-09-01,321.829987,-0.94741
718,1987-10-01,251.789993,-0.65718
719,1987-11-01,230.30000299999998,1.32554
720,1987-12-01,247.080002,0.60904
721,1988-01-01,257.070007,0.63493
722,1988-02-01,267.820007,-0.33432
723,1988-03-01,258.890015,0.11915
724,1988-04-01,261.329987,0.03879
725,1988-05-01,262.160004,0.66223
726,1988-06-01,273.5,-0.06304
727,1988-07-01,272.019989,-0.37648
728,1988-08-01,261.519989,0.59604
729,1988-09-01,271.910004,0.36015
730,1988-10-01,278.97000099999997,-0.20456
731,1988-11-01,273.700012,0.19121
732,1988-12-01,277.72000099999997,1.28051
733,1989-01-01,297.47000099999997,-0.29704
734,1989-02-01,288.859985,0.28032
735,1989-03-01,294.869995,0.79770
736,1989-04-01,309.640015,0.51348
737,1989-05-01,320.519989,-0.09106
738,1989-06-01,317.980011,1.76261
739,1989-07-01,346.079987,0.20294
740,1989-08-01,351.450012,-0.07577
741,1989-09-01,349.149994,-0.26359
742,1989-10-01,340.359985,0.21759
743,1989-11-01,345.98999,0.28954
744,1989-12-01,353.399994,-0.57497
745,1990-01-01,329.079987,0.10742
746,1990-02-01,331.890015,0.33321
747,1990-03-01,339.940002,-0.27896
748,1990-04-01,330.799988,1.87488
749,1990-05-01,361.230011,-0.10158
750,1990-06-01,358.019989,-0.06091
751,1990-07-01,356.149994,-0.69540
752,1990-08-01,322.559998,-0.46767
753,1990-09-01,306.049988,-0.07748
754,1990-10-01,304.0,1.01070
755,1990-11-01,322.22000099999997,0.34218
756,1990-12-01,330.22000099999997,0.62930
757,1991-01-01,343.929993,1.18447
758,1991-02-01,367.070007,0.30150
759,1991-03-01,375.22000099999997,0.00384
760,1991-04-01,375.339996,0.57545
761,1991-05-01,389.829987,-0.44508
762,1991-06-01,371.160004,0.69314
763,1991-07-01,387.809998,0.26301
764,1991-08-01,395.429993,-0.20702
765,1991-09-01,387.859985,0.15163
766,1991-10-01,392.450012,-0.41653
767,1991-11-01,375.22000099999997,2.55898
768,1991-12-01,417.089996,-0.21455
769,1992-01-01,408.77999900000003,0.12134
770,1992-02-01,412.700012,-0.23271
771,1992-03-01,403.690002,0.39115
772,1992-04-01,414.950012,0.01163
773,1992-05-01,415.350006,-0.18953
774,1992-06-01,408.140015,0.58950
775,1992-07-01,424.209991,-0.25284
776,1992-08-01,414.02999900000003,0.11491
777,1992-09-01,417.799988,0.02557
778,1992-10-01,418.679993,0.43012
779,1992-11-01,431.35000599999995,0.12827
780,1992-12-01,435.709991,0.08791
781,1993-01-01,438.77999900000003,0.13332
782,1993-02-01,443.380005,0.24894
783,1993-03-01,451.670013,-0.26578
784,1993-04-01,440.19000199999994,0.30939
785,1993-05-01,450.19000199999994,0.00910
786,1993-06-01,450.52999900000003,-0.06208
787,1993-07-01,448.130005,0.50115
788,1993-08-01,463.55999800000006,-0.11349
789,1993-09-01,458.92999299999997,0.25921
